210107069;02;0+0+0+0
210107069;03;0+0+0+0
210107069;04;1+0+0+0
210107069;05;0+0+0+0
210107069;06;0+0+0+0
210107069;07;0+0+0+0
210107069;08;0+0+0+0
210107069;09;0+0+0+0
210107069;10;0+0+0+0
210107069;11;0
210107071;01;1+1+0+0
210107071;02;0+0+0+0
210107071;03;0+0+0+0
210107071;04;1+0+0+0
210107071;05;0+0+0+0
210107071;06;0+0+0+0
210107071;07;0+0+0+0
210107071;08;0+0+0+0
210107071;09;1+0+0+0
210107071;10;0+0+0+0
210107071;11;0
210107099;01;1+1+1+0
210107099;02;0+0+0+0
210107099;03;0+0+0+0
210107099;04;1+1+0+0
210107099;05;0+0+0+0
210107099;06;0+0+0+0
210107099;07;1+1+1+1
210107099;08;1+0+0+0
210107099;09;0+0+0+0
210107099;10;0+0+0+0
210107099;11;0
210108026;01;1+0+1+0
210108026;02;1+0+0+0
210108026;03;1+0+0+0
210108026;04;1+1+0+0
210108026;05;0+0+0+0
210108026;06;1+0+0+0
210108026;07;1+1+1+1
210108026;08;1+0+0+0
210108026;09;1+1+1+1
210108026;10;0+0+0+0
210108026;11;0
210121069;01;1+0+1+1
210121069;02;1+0+0+0
210121069;03;1+1+0+0
210121069;04;1+1+0+0
210121069;05;1+0+0+0
210121069;06;0+0+0+0
210121069;07;1+1+1+1
210121069;08;1+1+1+0
210121069;09;1+1+1+1
210121069;10;1+0+0+0
210121069;11;0
220101035;01;1+1+1+0
220101035;02;1+0+0+0
220101035;03;1+0+0+0
220101035;04;1+1+0+0
220101035;05;0+0+0+0
220101035;06;0+0+0+0
220101035;07;1+1+1+1
220101035;08;1+0+0+0
220101035;09;1+1+0+0
220101035;10;0+0+0+0
220101035;11;0
220121073;01;0+0+0+0
220121073;02;0+0+0+0
220121073;03;0+0+0+0
220121073;04;0+0+0+0
220121073;05;0+0+0+0
220121073;06;0+0+0+0
220121073;07;0+0+0+0
220121073;08;0+0+0+0
220121073;09;0+0+0+0
220121073;10;0+0+0+0
220121073;11;0
220123012;01;1+1+1+1
220123012;02;1+1+1+1
220123012;03;1+1+1+1
220123012;04;0+0+0+0
220123012;05;1+0+0+0
220123012;06;0+0+0+0
220123012;07;1+1+1+1
220123012;08;0+0+0+0
